X,X_WGS84,Y_WGS84,Lacerta
925,-8.590146,39.97375,1
926,-8.589607,40.063843,1
927,-8.589065,40.153935,1
928,-8.474427,39.79309,1
929,-8.47166,40.153458,1
930,-8.3568,39.882595,1
931,-8.355956,39.972686,1
932,-8.355108,40.062775,1
933,-8.354257,40.152863,1
934,-8.240856,39.791797,1
935,-8.239863,39.881887,1
936,-8.238866,39.971976,1
937,-8.237864,40.062063,1
938,-8.236858,40.152149,1
939,-8.124076,39.790974,1
940,-8.122931,39.881062,1
941,-8.121781,39.971148,1
942,-8.120625,40.061233,1
943,-8.119464,40.151316,1
944,-8.007302,39.790034,1
945,-8.006004,39.880119,1
946,-8.0047,39.970202,1
947,-8.003391,40.060283,1
948,-8.002075,40.150363,1
949,-7.890533,39.788976,1
950,-7.889083,39.879058,1
951,-7.887626,39.969137,1
952,-7.886162,40.059215,1
953,-7.884692,40.149292,1
954,-7.549682,39.334733,1
955,-7.547816,39.424809,1
956,-7.433696,39.333229,1
957,-7.431681,39.423301,1
958,-7.429657,39.513371,1
959,-7.317718,39.33161,1
960,-7.315555,39.421677,1
961,-7.435701,39.243156,1
962,-7.322016,39.151473,1
963,-7.319872,39.241543,1
964,-7.206345,39.14975,1
965,-7.204053,39.239814,1
966,-7.090683,39.147912,1
967,-7.770558,39.967955,1
968,-7.768941,40.058029,1
969,-7.767316,40.148102,1
970,-7.653498,39.966654,1
971,-7.649947,40.146793,1
972,-7.53452,40.055301,1
973,-7.532586,40.145365,1
974,-7.417322,40.053759,1
975,-7.415234,40.143818,1
976,-7.180558,40.140368,1
977,-7.063236,40.138464,1
978,-8.82365,40.244622,1
979,-8.706085,40.244383,1
980,-8.705694,40.334473,1
981,-8.705302,40.424561,1
982,-8.588521,40.244025,1
983,-8.587425,40.4242,1
984,-8.586874,40.514286,1
985,-8.586319,40.60437,1
986,-8.47096,40.243547,1
987,-8.469551,40.42372,1
988,-8.468842,40.513804,1
989,-8.468129,40.603887,1
990,-8.352543,40.333035,1
991,-8.35168,40.423119,1
992,-8.349942,40.603282,1
993,-8.234833,40.332316,1
994,-8.233813,40.422398,1
995,-8.232788,40.512478,1
996,-8.231759,40.602556,1
997,-8.118298,40.241397,1
998,-8.114768,40.511634,1
999,-8.113581,40.60171,1
1000,-8.000754,40.240442,1
1001,-7.999426,40.330519,1
1002,-7.998093,40.420595,1
1003,-7.996754,40.510669,1
