x,y,species cloglog values
816.0,816.0,0.116922654
817.0,817.0,0.0012800766
818.0,818.0,0.0015517805
819.0,819.0,0.0017654306
820.0,820.0,0.19953205
821.0,821.0,0.0187807
822.0,822.0,0.82608855
823.0,823.0,0.002118037
824.0,824.0,3.1674877E-4
825.0,825.0,0.018983223
826.0,826.0,0.35905275
827.0,827.0,0.0076486683
828.0,828.0,6.2668795E-4
829.0,829.0,0.01229292
830.0,830.0,5.9782143E-4
831.0,831.0,0.12864047
832.0,832.0,0.5491438
833.0,833.0,0.0793295
834.0,834.0,0.077681094
835.0,835.0,0.015492638
836.0,836.0,0.19243363
837.0,837.0,0.0010303991
838.0,838.0,0.44252974
839.0,839.0,0.011035488
840.0,840.0,0.0031889032
841.0,841.0,5.3166534E-4
842.0,842.0,2.393457E-4
843.0,843.0,0.010598828
844.0,844.0,0.003733924
845.0,845.0,0.0018567819
846.0,846.0,0.0023078732
847.0,847.0,0.5360186
848.0,848.0,0.0011003657
849.0,849.0,4.907617E-4
850.0,850.0,0.09278404
851.0,851.0,1.481349E-4
852.0,852.0,7.7760435E-4
853.0,853.0,0.12505576
854.0,854.0,0.0017057728
855.0,855.0,0.027357819
856.0,856.0,3.2049257E-4
857.0,857.0,0.0024727068
858.0,858.0,0.004416673
859.0,859.0,0.26608053
860.0,860.0,0.016608901
861.0,861.0,0.0017186027
862.0,862.0,0.1748966
863.0,863.0,0.8468664
864.0,864.0,0.004136112
865.0,865.0,0.0020419196
866.0,866.0,0.6200735
867.0,867.0,0.060498666
868.0,868.0,0.086259514
869.0,869.0,0.010170428
870.0,870.0,0.01475518
871.0,871.0,0.037503295
872.0,872.0,0.42921376
873.0,873.0,0.7217415
874.0,874.0,0.017010786
875.0,875.0,3.5569133E-4
876.0,876.0,0.21079622
877.0,877.0,0.020974595
878.0,878.0,3.6318658E-4
879.0,879.0,3.7529442E-4
880.0,880.0,0.0021854371
881.0,881.0,0.8769682
882.0,882.0,6.055433E-4
883.0,883.0,0.0110243065
884.0,884.0,0.7459265
885.0,885.0,0.1840652
886.0,886.0,0.6781798
887.0,887.0,0.026816862
888.0,888.0,0.70557463
889.0,889.0,0.08632909
890.0,890.0,0.059897386
891.0,891.0,0.028575422
892.0,892.0,0.004487962
893.0,893.0,0.0011726754
894.0,894.0,0.048582908
895.0,895.0,0.14155847
896.0,896.0,0.15033787
897.0,897.0,5.393879E-4
898.0,898.0,0.020759964
899.0,899.0,0.13215208
900.0,900.0,0.0018713103
901.0,901.0,1.4735016E-4
902.0,902.0,0.0019603735
903.0,903.0,0.073680006
904.0,904.0,0.0098802885
905.0,905.0,0.043821216
906.0,906.0,0.33924052
907.0,907.0,3.7862532E-4
908.0,908.0,0.068512596
909.0,909.0,0.015482182
910.0,910.0,0.11730421
911.0,911.0,0.87654626
912.0,912.0,0.78210753
913.0,913.0,0.6063325
914.0,914.0,9.745891E-4
915.0,915.0,0.001203251
916.0,916.0,0.0012605521
917.0,917.0,0.0010143106
918.0,918.0,0.001537145
919.0,919.0,0.57000905
920.0,920.0,6.161452E-5
921.0,921.0,0.0026484344
922.0,922.0,8.7835285E-4
923.0,923.0,0.23648238
924.0,924.0,0.10046501
925.0,925.0,0.16270904
926.0,926.0,0.13284843
927.0,927.0,2.4594154E-4
928.0,928.0,0.15588024
929.0,929.0,0.0018435993
930.0,930.0,0.014693799
931.0,931.0,0.08960878
932.0,932.0,0.11118323
933.0,933.0,0.21176708
934.0,934.0,0.1651152
935.0,935.0,0.0010726664
936.0,936.0,0.0036553969
937.0,937.0,0.0053797094
938.0,938.0,6.744649E-4
939.0,939.0,0.0029727134
940.0,940.0,2.2097235E-4
941.0,941.0,3.515854E-4
942.0,942.0,0.7559822
943.0,943.0,0.0049871607
944.0,944.0,0.13544744
945.0,945.0,0.009852703
946.0,946.0,0.668555
947.0,947.0,0.00292184
948.0,948.0,0.09449223
949.0,949.0,0.007618667
950.0,950.0,0.172223
951.0,951.0,0.001469361
952.0,952.0,6.911266E-4
