X,Y,CENTROX,CENTROY,PM,XCOORD,YCOORD
-1.46269690460997,43.2055582174699,625000.0000,4785000.000,1,-1.462697,43.205558
-1.33964997569247,43.2038381676993,635000.0000,4785000.000,1,-1.339650,43.203838
-1.70691760193244,43.2986243684646,605000.0000,4795000.000,1,-1.706918,43.298624
-1.58366934637574,43.2971643966716,615000.0000,4795000.000,1,-1.583669,43.297164
-1.4604307403291,43.2955716776922,625000.0000,4795000.000,1,-1.460431,43.295572
-1.33720262190061,43.2938462413406,635000.0000,4795000.000,1,-1.337203,43.293846
-3.06152349518402,41.7749458058287,495000.0000,4625000.000,1,-3.061523,41.774946
-3.30259103600523,41.8646321606329,475000.0000,4635000.000,1,-3.302591,41.864632
-3.1821009850243,41.8648864106534,485000.0000,4635000.000,1,-3.182101,41.864886
-3.0616097683509,41.8650142522918,495000.0000,4635000.000,1,-3.061610,41.865014
-3.42367428182589,41.9543161387468,465000.0000,4645000.000,1,-3.423674,41.954316
-3.18235714820937,41.9549530400879,485000.0000,4645000.000,1,-3.182357,41.954953
-3.06169643591508,41.9550812839443,495000.0000,4645000.000,1,-3.061696,41.955081
-3.1826144832883,42.0450182531315,485000.0000,4655000.000,1,-3.182614,42.045018
-3.06178349996774,42.0451469003277,495000.0000,4655000.000,1,-3.061783,42.045147
-3.18287299648947,42.135082049333,485000.0000,4665000.000,1,-3.182873,42.135082
-3.06187096261613,42.1352111009976,495000.0000,4665000.000,1,-3.061871,42.135211
-3.30430537149207,42.2248869651077,475000.0000,4675000.000,1,-3.304305,42.224887
-3.18313269408923,42.2251444282552,485000.0000,4675000.000,1,-3.183133,42.225144
-3.06195882598379,42.2252738855235,495000.0000,4675000.000,1,-3.061959,42.225274
-3.42608217956064,42.3145604419936,465000.0000,4685000.000,1,-3.426082,42.314560
-3.30473887553792,42.3149471174005,475000.0000,4685000.000,1,-3.304739,42.314947
-3.1833935824124,42.3152053894748,485000.0000,4685000.000,1,-3.183394,42.315205
-3.06204709221061,42.3153352534892,495000.0000,4685000.000,1,-3.062047,42.315335
